r,r1,r2,r3,r4,r5,r6,r7,r8,n1,n2,n3,n4,n5,n6,n7,n8
63.693787575150296,4.683366733466934,5.62004008016032,6.556713426853706,7.493386773547094,8.43006012024048,9.366733466933868,10.303406813627255,11.24008016032064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.47054108216433,4.740480961923848,5.688577154308618,6.636673346693388,7.584769539078156,8.532865731462925,9.480961923847696,10.429058116232465,11.377154308617236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.24729458917835,4.797595190380761,5.757114228456914,6.716633266533066,7.676152304609218,8.63567134268537,9.595190380761522,10.554709418837675,11.514228456913829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.02404809619239,4.854709418837675,5.825651302605211,6.796593186372745,7.767535070140281,8.738476953907815,9.70941883767535,10.680360721442886,11.651302605210422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.80080160320641,4.911823647294589,5.894188376753507,6.876553106212424,7.858917835671342,8.84128256513026,9.823647294589177,10.806012024048096,11.788376753507015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.57755511022043,4.968937875751503,5.962725450901802,6.956513026052103,7.950300601202404,8.944088176352704,9.937875751503006,10.931663326653306,11.925450901803604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.35430861723447,5.026052104208417,6.031262525050099,7.036472945891783,8.041683366733466,9.046893787575149,10.052104208416834,11.057314629258517,12.062525050100199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.13106212424849,5.08316633266533,6.099799599198396,7.116432865731462,8.133066132264528,9.149699398797594,10.16633266533066,11.182965931863725,12.199599198396792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.90781563126252,5.140280561122244,6.168336673346694,7.196392785571142,8.224448897795591,9.25250501002004,10.280561122244489,11.308617234468938,12.336673346693388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.68456913827654,5.197394789579157,6.236873747494989,7.276352705410821,8.315831663326652,9.355310621242484,10.394789579158314,11.434268537074146,12.473747494989977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.46132264529058,5.254509018036072,6.305410821643286,7.356312625250501,8.407214428857715,9.45811623246493,10.509018036072144,11.55991983967936,12.610821643286572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.2380761523046,5.311623246492986,6.3739478957915825,7.43627254509018,8.498597194388777,9.560921843687373,10.623246492985972,11.685571142284568,12.747895791583165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.01482965931864,5.3687374749499,6.442484969939879,7.5162324649298595,8.58997995991984,9.66372745490982,10.7374749498998,11.811222444889781,12.884969939879758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.79158316633266,5.425851703406813,6.511022044088175,7.596192384769538,8.681362725450901,9.766533066132263,10.851703406813627,11.936873747494989,13.02204408817635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
